distance,stage,point_est,ci_lower,ci_upper
0-1,preprod,NA,NA,NA
1-2,preprod,14.533824189096643,-21.150350581801398,50.21799895999468
2-3,preprod,7.35363002527349,-4.44773077522371,19.15499082577069
3-4,preprod,-4.348831883103314,-14.763145204272107,6.065481438065479
4-5,preprod,4.068121022613762,-7.519026358830666,15.65526840405819
0-1,prod,0.025818689865366163,-0.004511590856746291,0.056148970587478614
1-2,prod,-0.003091234778203115,-0.006114454232284593,-6.801532412163734e-5
2-3,prod,0.0018946969573817075,4.0938318033587745e-4,0.0033800107344275376
3-4,prod,-0.0018446828144975376,-0.00308139098901054,-6.079746399845355e-4
4-5,prod,0.0013656389276529549,5.121534197343449e-4,0.0022191244355715648
