distance,direction,point_est,ci_lower,ci_upper
0-1,Upwind,2.265754904519583,-0.4691488293383319,5.000658638377498
1-2,Upwind,2.9119672264045215,0.9867337519304895,4.837200700878554
2-3,Upwind,0.6462867462922841,0.30502289228439183,0.9875506003001764
3-4,Upwind,-0.6009129705862157,-0.8444378709809915,-0.3573880701914399
4-5,Upwind,-0.7336995609179398,-0.9436115574267223,-0.5237875644091572
5-6,Upwind,0.28378145541579813,0.1634602673437523,0.40410264348784397
6-7,Upwind,0.1840860905795193,-0.022843672778956575,0.3910158539379952
7-8,Upwind,0.5051005489181446,0.2196371436917674,0.7905639541445217
8-9,Upwind,-0.1810717785077722,-0.5153398349794006,0.15319627796385624
9-10,Upwind,0.3323663043181566,0.11352474272647467,0.5512078659098385
0-1,Downwind,3.4980778931665513,-1.2979814520921988,8.294137238425302
1-2,Downwind,-0.02415575335449125,-1.8898643116755356,1.8415528049665533
2-3,Downwind,-0.34711874799843273,-0.6500017397867356,-0.04423575621012987
3-4,Downwind,0.10795443184204835,-0.10086990411674447,0.3167787678008412
4-5,Downwind,0.6435112606454577,0.27445137199392977,1.0125711492969858
5-6,Downwind,-0.9157743528501289,-1.1445549293463964,-0.6869937763538614
6-7,Downwind,0.43948102567097924,0.08898334411960801,0.7899787072223505
7-8,Downwind,0.7621902399584544,0.5200022161451366,1.004378263771772
8-9,Downwind,NA,NA,NA
9-10,Downwind,-0.2096554012849729,-0.37873598967017197,-0.040574812899773854
0-1,Lateral,0.7283135738781011,-3.340314820920248,4.7969419686764505
1-2,Lateral,0.22975159276809523,-0.6055363864867643,1.0650395720229549
2-3,Lateral,-0.3864953874112059,-0.6408000074725774,-0.13219076734983448
3-4,Lateral,0.2772929125021934,0.12196068960992285,0.43262513539446396
4-5,Lateral,0.22486059759701815,0.01889177999840161,0.43082941519563467
5-6,Lateral,0.16927741258843346,0.004559696042233635,0.33399512913463325
6-7,Lateral,-0.5682605007923109,-0.8249577270774238,-0.31156327450719806
7-8,Lateral,0.5386945555378639,0.27346024138723773,0.8039288696884901
8-9,Lateral,-0.3380387779975547,-0.607084656239729,-0.06899289975538048
9-10,Lateral,0.121908211404669,0.016180159411449874,0.22763626339788812
