distance,point_est,ci_lower,ci_upper
0-1,2.7555168377338586e-4,2.4373982379884262e-4,3.073635437479291e-4
1-2,-1.8300207459621875e-6,-5.782708475239621e-6,2.1226669833152455e-6
2-3,3.051655586930632e-6,1.6458514892623525e-6,4.4574596845989116e-06
3-4,-1.2869747233342524e-5,-1.4746559581590004e-5,-1.0992934885095043e-5
4-5,-3.6818679064100534e-6,-5.124994629595449e-6,-2.238741183224658e-6
