distance,point_est,ci_lower,ci_upper
0-1,-1.4731719244848147e-4,-2.2973899228990912e-4,-6.489539260705381e-5
1-2,2.0810069837656812e-5,2.9365150994530783e-6,3.868362457586055e-5
2-3,-1.4921898797015089e-5,-2.3292073739158148e-5,-6.55172385487203e-6
3-4,4.6182288590543355e-5,3.0208645440842425e-5,6.215593174024429e-5
4-5,-3.1089079275863746e-5,-5.221800915462292e-5,-9.960149397104567e-6
