distance,point_est,ci_lower,ci_upper
0-1,1.8867629806147006,1.1905707835969679,2.5829551776324333
1-2,-0.1797951156079988,-0.2985408583514882,-0.0610493728645094
2-3,-0.005941385096584943,-0.01637871119803988,0.004495941004869994
3-4,-0.008546505713009052,-0.03718311712332911,0.020090105697311005
4-5,-0.025542833908819368,-0.043688796918279024,-0.007396870899359708
