distance,point_est,ci_lower,ci_upper
0-1,-0.014866396577788316,-0.02237190297746178,-0.007360890178114851
1-2,-0.002906949430886041,-0.0035721453851539796,-0.0022417534766181026
2-3,-7.948016681782071e-4,-0.001195273050430413,-3.943302859260011e-4
3-4,3.191636088320307e-4,-5.560843984704466e-4,0.001194411616134508
4-5,0.006531547013794834,0.005063297907343474,0.007999796120246193
